City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,kalianget,-7.05,113.9333,26.96,84,100,2.02,ID,1704566468
184,burang,30.25,81.1667,-8.83,57,0,1.09,CN,1704566468
185,brokopondo,4.75,-55.1667,32.44,45,72,0.45,SR,1704566469
186,salpazari,40.9411,39.1956,7.34,55,15,4.7,TR,1704566470
187,hola,51.5377,23.1902,-2.9,75,100,5.54,PL,1704566470
188,revda,56.801,59.9303,-20.46,100,100,1.13,RU,1704566471
189,keflavik,64.0049,-22.5624,2.24,80,100,4.12,IS,1704566472
190,pisco,-13.7,-76.2167,26.03,61,0,4.12,PE,1704566472
191,mombetsu,44.3525,143.3525,-4.52,92,100,1.71,JP,1704566473
192,mejit,10.2753,170.8646,26.69,65,98,8.89,MH,1704566474
193,elliot lake,46.3834,-82.6331,-7.41,86,100,4.01,CA,1704566475
194,al lagowa,11.4,29.1333,22.44,17,100,3.36,SD,1704566476
195,ancud,-41.8697,-73.8203,15.74,72,100,3.0,CL,1704566199
196,bardai,11.65,7.2333,23.0,15,100,4.36,NG,1704566198
197,nemuro,43.3236,145.575,0.3,78,91,2.28,JP,1704565887
198,alta sierra,35.7291,-118.5495,1.17,30,20,3.41,US,1704566479
199,praia da vitoria,38.7333,-27.0667,17.14,77,20,9.0,PT,1704566480
200,sisimiut,66.9395,-53.6735,-11.18,90,100,2.31,GL,1704565917
201,mirnyy,62.5353,113.9611,-25.77,93,100,2.5,RU,1704566482
202,klyuchi,52.2667,79.1667,-5.93,97,100,1.26,RU,1704566270
203,abagur,53.7308,87.2526,-6.54,95,100,2.53,RU,1704566484
204,fale old settlement,-9.3852,-171.2468,28.69,69,100,2.76,TK,1704566202
205,mount isa,-20.7333,139.5,26.87,74,40,2.06,AU,1704566189
206,tinajo,29.0788,-13.7081,18.49,59,20,4.63,ES,1704566485
207,tofol,5.3248,163.0078,28.2,69,100,8.46,FM,1704566486
208,guiuan,11.0333,125.7247,27.8,78,70,4.72,PH,1704566487
209,tazovsky,67.4667,78.7,-20.08,96,13,5.28,RU,1704566488
210,hamilton,39.1834,-84.5333,4.8,91,100,1.54,US,1704566284
211,meadow lake,34.8014,-106.5436,4.06,56,20,4.52,US,1704566490
212,susuman,62.7833,148.1667,-36.12,99,100,0.45,RU,1704565910
213,zharkent,44.1628,80.0,0.95,56,100,0.44,KZ,1704566492
214,vadso,70.0744,29.7487,-7.91,93,100,8.75,NO,1704566494
215,brainerd,46.358,-94.2008,-0.86,87,100,3.09,US,1704566494
216,east london,-33.0153,27.9116,19.52,88,0,4.63,ZA,1704566496
217,menaka,15.9182,2.4022,27.5,11,100,4.13,ML,1704566498
218,chonchi,-42.6128,-73.8092,20.8,50,83,0.7,CL,1704566499
219,bafq,31.6128,55.4107,10.9,32,0,6.16,IR,1704566500
220,jamestown,42.097,-79.2353,-0.16,95,100,4.12,US,1704566500
221,guatrache,-37.6678,-63.5302,32.28,20,5,0.38,AR,1704566501
222,patterson,37.4716,-121.1297,8.43,63,100,3.69,US,1704566501
223,pampa,35.5362,-100.9599,5.02,65,40,6.69,US,1704566501
224,port lincoln,-34.7333,135.8667,18.56,97,73,1.21,AU,1704566503
225,sambava,-14.2667,50.1667,27.24,84,74,1.58,MG,1704566504
226,grafton,42.207,-71.6856,1.4,67,100,4.12,US,1704566505
227,altai,46.3722,96.2583,-11.13,53,51,1.53,MN,1704566507
228,saint-christol-les-ales,44.0833,4.0833,7.19,56,20,6.61,FR,1704566507
229,alofi,-19.0595,-169.9187,24.94,94,26,1.54,NU,1704566508
230,kirsehir,39.3333,34.1667,5.43,41,100,2.1,TR,1704566510
231,hailun,47.45,126.9333,-24.05,98,91,2.85,CN,1704566510
232,erenhot,43.6475,111.9767,-16.77,83,2,2.31,CN,1704566511
233,borshchiv,48.8033,26.0435,1.69,80,100,2.25,UA,1704566512
234,kharkhorin,47.1975,102.8238,-14.59,71,20,2.24,MN,1704566512
235,agat village,13.3886,144.6585,27.06,84,0,6.17,GU,1704566513
236,hirara,24.8,125.2833,18.92,68,40,8.23,JP,1704566359
237,miranda,3.2499,-76.2281,29.07,46,100,2.12,CO,1704566514
238,hobbs,32.7026,-103.136,7.33,46,0,9.26,US,1704566236
239,hammerfest,70.6634,23.6821,-1.75,86,100,6.17,NO,1704566278
240,waingapu,-9.6567,120.2641,27.27,81,100,1.14,ID,1704566516
241,massawa,15.6097,39.45,26.28,73,21,2.74,ER,1704566517
242,saint-pierre,-21.3393,55.4781,26.82,83,44,7.2,RE,1704566518
243,lyozna,55.0249,30.7956,-16.86,98,19,2.5,BY,1704566518
244,chiang rai,19.9167,99.9167,19.76,98,20,0.0,TH,1704566519
245,oum hadjer,13.2954,19.6966,25.72,13,5,3.02,TD,1704566519
246,saudarkrokur,65.7461,-19.6394,-7.52,83,24,3.5,IS,1704566520
247,northam,51.0333,-4.2167,7.56,87,7,5.76,GB,1704566521
248,san antonio de pale,-1.4014,5.6325,27.59,72,91,3.91,GQ,1704566522
249,buka,40.8108,69.1986,10.9,43,100,2.35,UZ,1704566522
250,luchenza,-16.0069,35.3095,20.79,82,41,1.24,MW,1704566523
251,tayu,-6.5397,111.0518,24.51,92,100,3.02,ID,1704566524
252,ventspils,57.3894,21.5606,-11.04,92,100,2.06,LV,1704566524
253,rio grande,-32.035,-52.0986,30.06,70,22,5.82,BR,1704566294
